Mark,WIND,Competitor,Nat,Venue,Date
10.52,3.0,Tobi OGUNKANMI,GBR,"Melbourne Park Athletics Centre, Chelmsford (GBR)",2020-08-30
10.52,1.0,Sergio JUAREZ,ESP,"Polideportivo Juan de la Cierva, Getafe (ESP)",2020-09-12
10.52,1.0,Arnau MONNE,ESP,"Polideportivo Juan de la Cierva, Getafe (ESP)",2020-09-12
10.52,1.0,Kota ITO,JPN,"Nagaragawa Stadium, Gifu (JPN)",2020-10-03
10.52,14.0,Takuma HAYASHI,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",2020-10-31
10.52,1.0,Guibin PANG,CHN,Zhaoqing (CHN),2008-11-08
10.52,-1.0,Deji TOBAIS,GBR,Pune (IND),2008-10-14
10.52,-1.0,Jason ROGERS,GBR,Pune (IND),2008-10-14
10.52,13.0,Bharmappa NAGARAJ,IND,Bhopal (IND),2008-09-18
10.52,9.0,Hiroshi DOTE,JPN,Tokyo (JPN),2008-09-12
10.52,15.0,Kota SAKUMA,JPN,Tokyo (JPN),2008-09-12
10.52,15.0,Shogo YANO,JPN,Tokyo (JPN),2008-09-12
10.52,17.0,Matthias BÃœHLER,GER,Schutterwald (GER),2008-07-12
10.52,6.0,Jimmy MELFORT,FRA,Strasbourg (FRA),2008-07-02
10.52,-6.0,MatjazÌŒ BOROVINA,SLO,Gorizia (ITA),2008-06-29
10.52,15.0,Mustapha TRAORE,MLI,"Stadium Municipal, Albi (FRA)",2020-09-12
10.52,11.0,Zantyler FOSTER-HOOKS,USA,"Canyon, TX (USA)",2019-04-20
10.52,17.0,Issei KOBAYASHI,JPN,Ageo (JPN),2019-04-07
10.52,9.0,Jeremy JOHNSON,USA,"Charlotte, NC (USA)",2012-04-21
10.52,2.0,Elvyon BAILEY,USA,"Oxford, MS (USA)",2012-03-31
10.52,20.0,R.J. ANDERSON,USA,"Myrtle Beach, SC (USA)",2012-03-17
10.52,5.0,Reggie REESE,USA,"Charlotte, NC (USA)",2012-03-16
10.52,5.0,Emmanuel MATADI,USA,"Tampa, FL (USA)",2013-03-08
10.52,-5.0,Joshua CLARKE,AUS,Perth (AUS),2013-03-13
10.52,3.0,Hanoj CARTER,USA,"Ruston, LA (USA)",2013-03-16
10.52,17.0,Michael POHL,GER,Friedberg (GER),2012-04-28
10.52,10.0,Blake BARTLETT,BAH,"Lubbock, TX (USA)",2013-04-06
10.52,2.0,Raoni DE PAULA AMARAL,BRA,SÃ£o Paulo (BRA),2013-04-06
10.52,5.0,Brendon RODNEY,CAN,"Mahwah, NJ (USA)",2013-04-13
10.52,1.0,Jerrell HANCOCK,USA,"Walnut, CA (USA)",2013-04-19
10.52,16.0,David AMBLER,NZL,"Raleigh, NC (USA)",2013-04-19
10.52,14.0,Brandon HAIRSTON,USA,"Statesboro, GA (USA)",2013-04-21
10.52,6.0,Eric CRAY,PHI,"San Marcos, TX (USA)",2013-04-27
10.52,19.0,Liang JIN,CHN,Zhaoqing (CHN),2013-04-27
10.52,13.0,Michael LEBLANC,CAN,"Irvine, CA (USA)",2013-04-28
10.52,17.0,Keenan SOLES,USA,"Hays, KS (USA)",2013-05-04
10.52,0.0,Deun WHITE,USA,"Tempe, AZ (USA)",2013-04-06
10.52,14.0,Ben MARTIN,USA,"Troy, AL (USA)",2012-04-28
10.52,3.0,DeAndre DAVIS,USA,"Allendale, MI (USA)",2012-05-03
10.52,9.0,Calvin Kang LI LOONG,SGP,Bangkok (THA),2012-11-05
10.52,4.0,Yi LAO,CHN,Tianjin (CHN),2012-09-13
10.52,15.0,Sean SAFO-ANTWI,GBR,Bedford (GBR),2012-08-25
10.52,19.0,Robert GRAHAM,GBR,London (GBR),2012-08-01
10.52,13.0,Aaron BOWMAN,CAN,Ottawa (CAN),2012-07-14
10.52,12.0,VÃ¡clav ZICH,CZE,ÃšstÃ­ nad Labem (CZE),2012-07-10
10.52,1.0,Visa HONGISTO,FIN,Lapinlahti (FIN),2012-07-08
10.52,16.0,Denis OGARKOV,RUS,Cheboksary (RUS),2012-06-19
10.52,20.0,Aleksandr KHYUTTE,RUS,Zhukovskiy (RUS),2012-06-17
10.52,7.0,Judah SIMPSON,GBR,Bedford (GBR),2012-06-16
10.52,13.0,Iordanis ROUSSAKIS,GRE,Athina (GRE),2012-06-15
10.52,14.0,Panayiotis ANDREADIS,GRE,Athina (GRE),2012-06-15
10.52,14.0,Andre MCBRIDE,USA,"Clovis, CA (USA)",2012-06-02
10.52,19.0,Davide DEIMICHEI,ITA,Gavardo (ITA),2012-05-27
10.52,-1.0,Ihor BODROV,UKR,Yalta (UKR),2012-05-27
10.52,6.0,Emanuele ABATE,ITA,Savona (ITA),2012-05-19
10.52,19.0,Jason SMOOTS,USA,"Greensboro, NC (USA)",2012-05-13
10.52,15.0,Drayton CALHOUN,USA,"Lafayette, LA (USA)",2012-05-12
10.52,9.0,Dean FRANCIS,JAM,"Gunnison, CO (USA)",2012-05-08
10.52,1.0,Shehan ABEYPITIYA,SRI,Bangkok (THA),2012-05-08
10.52,17.0,R.J. PAGE,USA,"Orono, ME (USA)",2012-05-06
10.52,14.0,Sam ACHEAMPONG,USA,"Lincoln, NE (USA)",2012-05-05
10.52,19.0,Rashad CAMPBELL,USA,"Jacksonville, FL (USA)",2013-05-11
10.52,7.0,Roscoe ENGEL,RSA,Stellenbosch (RSA),2009-03-13
10.52,11.0,Rashad SMITH,USA,"Greensboro, NC (USA)",2013-05-12
10.52,10.0,Diego MARANI,ITA,Gavardo (ITA),2013-05-19
10.52,-2.0,Benjamin JAWORSKI,AUS,"SOPAC, Sydney (AUS)",2016-04-02
10.52,11.0,Maxime GARDES,FRA,Kourou (GUY),2016-04-09
10.52,13.0,Aaron GEORGE,USA,"Waco, TX (USA)",2016-04-23
10.52,11.0,Jelani BRICE-MOORE,USA,"Sacramento, CA (USA)",2016-04-29
10.52,17.0,James LAW,USA,"Clermont, FL (USA)",2016-04-30
10.52,11.0,Raheem ROBINSON,JAM,"Jacksonville, FL (USA)",2016-05-04
10.52,-21.0,Sota KAWATSURA,JPN,Mito (JPN),2016-05-05
10.52,3.0,Nicholas IMHOAPERAMHE,NGR,Abuja (NGR),2016-05-14
10.52,12.0,Phillip GREEN,USA,"Lafayette, LA (USA)",2016-05-14
10.52,14.0,Trenton Anthony BERAM,PHI,"Orlando, FL (USA)",2016-05-15
10.52,8.0,Trevin CHAMBERS,USA,"Austin, TX (USA)",2016-04-02
10.52,14.0,Coull GRAHAM,ANT,Kingston (JAM),2016-05-28
10.52,2.0,Festus ASANTE,DEN,Skara (SWE),2016-06-06
10.52,9.0,Karl Robert SALURI,EST,"Eugene, OR (USA)",2016-06-08
10.52,14.0,Sandro Ricardo RODRIGUES VIANA,BRA,"Montverde, FL (USA)",2016-06-11
10.52,12.0,Andre COSTA,POR,Lisboa (POR),2016-06-12
10.52,-13.0,Mitsuhiro ABIKO,JPN,Nagoya (JPN),2016-06-24
10.52,-13.0,Michael TUMI,ITA,Rieti (ITA),2016-06-25
10.52,12.0,Rodman TELTULL,PLW,Suva (FIJ),2016-07-08
10.52,5.0,Cameron DOUGLAS,USA,"Kissimmee, FL (USA)",2016-07-12
10.52,5.0,Raymond BANG-CUSE,FRA,Aubagne (FRA),2016-07-16
10.52,11.0,Omari BARTON-ELLINGTON,GBR,St. Peter Port (GBR),2016-07-16
10.52,8.0,Karsten WARHOLM,NOR,LillestrÃ¸m (NOR),2016-05-28
10.52,8.0,Carlton ANUMNU,USA,"Austin, TX (USA)",2016-04-01
10.52,16.0,Bennie WESLEY,USA,"Tempe, AZ (USA)",2016-03-19
10.52,4.0,Keenan MICHAU,RSA,Pretoria (RSA),2016-03-08
10.52,17.0,Michael SCHRADER,GER,Ulm (GER),2013-05-22
10.52,16.0,Rolf FONGUÃ‰,SUI,Weinheim (GER),2013-05-25
10.52,12.0,Valentin MOROZOV,RUS,Yerino (RUS),2013-06-02
10.52,0.0,BasÃ­lio Emilio DE MORAES JÃšNIOR,BRA,SÃ£o Paulo (BRA),2013-06-06
10.52,4.0,Gang ZHAO,CHN,Shenyang (CHN),2013-06-15
10.52,18.0,Antonio HENRY,JAM,Kingston (JAM),2013-06-15
10.52,5.0,Victor IKHAZOBOR,NGR,Calabar (NGR),2013-06-19
10.52,15.0,Femi OWOLADE,NGR,Lee Valley (GBR),2013-06-19
10.52,12.0,Trey HARDEE,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.52,19.0,Mamoudou-Elimane HANNE,FRA,Cagnes (FRA),2013-06-22
10.52,13.0,Pierre CHALUS,FRA,Montgeron (FRA),2013-06-22
10.52,18.0,Aaron RADDEN,USA,"New York, NY (USA)",2013-06-29
10.52,12.0,Benjamin GRILL,AUT,Amstetten (AUT),2013-07-06
10.52,-2.0,Shernyl BURNS,MNT,Bromley (GBR),2013-07-08
10.52,-2.0,Jake HAMMOND,AUS,Brisbane (AUS),2013-07-20
10.52,-4.0,Calvin Kang LI LOONG,SGP,"Luzhniki, Moskva (RUS)",2013-08-10
10.52,-17.0,Dwayne HALL,JAM,Clarendon (JAM),2016-02-06
10.52,16.0,Adiel VAN WYK,NAM,Clarendon (JAM),2016-02-06
10.52,-3.0,Javoy TUCKER,JAM,Kingston (JAM),2016-03-05
10.52,9.0,Sean STUART,BAH,"Hollywood, FL (USA)",2013-05-18
10.52,6.0,Jeremy DODSON,USA,"Boulder, CO (USA)",2009-03-21
10.52,16.0,Liangliang YU,CHN,Zhaoqing (CHN),2009-04-10
10.52,11.0,Darryl WILLIAMS,USA,"Greensboro, NC (USA)",2010-04-17
10.52,19.0,Marquis HORN,USA,"Walnut, CA (USA)",2010-04-17
10.52,15.0,Kieran SHOWLER-DAVIS,GBR,Marsa (MLT),2010-04-10
10.52,1.0,Raymond RICHARDS,JAM,"Fayette, MO (USA)",2010-04-10
10.52,16.0,Thabo MATEBEDI,RSA,Germiston (RSA),2010-04-06
10.52,15.0,Keyth TALLEY,USA,"Arlington, TX (USA)",2010-03-27
10.52,8.0,Brian JOHNSON,USA,"Baton Rouge, LA (USA)",2010-03-26
10.52,6.0,Rapula SEFANYETSO,RSA,Johannesburg (RSA),2010-03-24
10.52,19.0,Adolphus NEVERS,JAM,Spanish Town (JAM),2010-03-13
10.52,20.0,Jesse DRINKS,USA,"Storrs, CT (USA)",2010-04-17
10.52,11.0,Ayodele TAFFE,TTO,"Turlock, CA (USA)",2015-02-28
10.52,15.0,Tyler BOWE,BAH,Basseterre (SKN),2015-04-04
10.52,3.0,Mohd FADLIN,INA,Singapore (SGP),2015-04-04
10.52,3.0,Malcolm WHITE,USA,"Lincoln, NE (USA)",2015-04-11
10.52,8.0,Jatarius HARRIS,USA,"Bowling Green, KY (USA)",2015-04-11
10.52,0.0,Kind BUTLER,USA,"Los Angeles, CA (USA)",2015-04-16
10.52,1.0,Saquan MITCHELL,USA,"Princeton, NJ (USA)",2015-04-18
10.52,12.0,Alexander HAÃŸ,GER,"Buies Creek, NC (USA)",2015-04-18
10.52,17.0,Josh HAMILTON,VIN,Port-of-Spain (TTO),2015-04-18
10.52,10.0,John-Mark CONSTANTINE,TTO,"Canyon, TX (USA)",2015-04-25
10.52,3.0,Cra'Vorkian CARSON,USA,"Starkville, MS (USA)",2015-05-02
10.52,7.0,Jhon VALENCIA,ECU,Cuenca (ECU),2015-03-14
10.52,20.0,Ignacio ROJAS,CHI,MedellÃ­n (COL),2010-04-24
10.52,13.0,Jeremy RANKIN,USA,"Tallahassee, FL (USA)",2010-05-08
10.52,-6.0,Kamil KRYÅƒSKI,POL,Czestochowa (POL),2010-08-22
10.52,0.0,Steven COLVERT,IRL,Bruxelles (BEL),2010-08-08
10.52,13.0,SÃ©kou CLARKE,JAM,Castres (FRA),2010-07-20
10.52,10.0,Bernardo BRADY,JAM,"Croix-Bleue Medavie Stadium, Moncton (CAN)",2010-07-20
10.52,11.0,Alain LÃ“PEZ,ESP,AvilÃ©s (ESP),2010-07-17
10.52,-9.0,Tony DARKWAH,SWE,GÃ¶teborg (SWE),2010-07-03
10.52,17.0,Jamol JAMES,TTO,Port-of-Spain (TTO),2010-06-26
10.52,16.0,Keenan BROCK,USA,"Des Moines, IA (USA)",2010-06-24
10.52,0.0,Yordan ILINOV,BUL,Marsa (MLT),2010-06-19
10.52,18.0,Demetrius LINDO,USA,"Greensboro, NC (USA)",2010-06-17
10.52,4.0,Demetrias MCCLOUD,USA,"Clermont, FL (USA)",2010-06-12
10.52,13.0,Giovanni CODRINGTON,NED,"Stadio Olimpico, Roma (ITA)",2010-06-10
10.52,1.0,Jan Å½UMER,SLO,Postojna (SLO),2010-06-06
10.52,11.0,Taffawee JOHNSON,JAM,Kingston (JAM),2010-06-05
10.52,12.0,Aubrey LEMON,USA,"Greensboro, NC (USA)",2010-05-27
10.52,14.0,Alessandro ROCCO,ITA,Gavardo (ITA),2010-05-22
10.52,0.0,Yuichi KOBAYASHI,JPN,Tokyo (JPN),2010-05-15
10.52,-3.0,Andrew RILEY,JAM,"Bloomington, IN (USA)",2010-05-15
10.52,-1.0,Kyle CLAYTON,USA,"Princeton, NJ (USA)",2010-05-15
10.52,4.0,Eric PLUMP,USA,"Athens, GA (USA)",2010-05-08
10.52,11.0,Shaquille RAY,USA,"Boone, NC (USA)",2015-05-02
10.52,4.0,Davide MANENTI,ITA,Pavia (ITA),2015-05-03
10.52,13.0,Reginald THOMAS,USA,"Hillsdale, MI (USA)",2015-05-07
10.52,13.0,Pedro CRUZ,PUR,MedellÃ­n (COL),2015-05-09
10.52,5.0,Alwin FLOHR,GER,GÃ¶ttingen (GER),2009-06-27
10.52,19.0,Masahide UENO,JPN,Hiroshima (JPN),2009-06-27
10.52,1.0,Max GALLIERS,GBR,Watford (GBR),2009-06-21
10.52,5.0,Jens LÃ–FGREN,SWE,JÃ¶nkÃ¶ping (SWE),2009-06-17
10.52,16.0,Valerio ROSICHINI,ITA,Rieti (ITA),2009-06-12
10.52,16.0,Shogo YANO,JPN,Tottori (JPN),2009-06-07
10.52,11.0,Daniel BRISCHKE,GER,Regensburg (GER),2009-06-07
10.52,18.0,Babatunde RIDLEY,USA,"Walnut, CA (USA)",2009-06-06
10.52,11.0,Deangelo MINGO,USA,"Walnut, CA (USA)",2009-06-06
10.52,18.0,Christian Settemsli MOGSTAD,NOR,FlorÃ¸ (NOR),2009-06-06
10.52,15.0,Kenny JACKSON,USA,"Clovis, CA (USA)",2009-06-05
10.52,20.0,VÃ¡clav ZICH,CZE,StÅ™Ã­bro (CZE),2009-05-30
10.52,9.0,Daniel ESTRADA,PUR,"Greensboro, NC (USA)",2019-04-12
10.52,13.0,Rasgawa PINNOCK,GER,Weinheim (GER),2009-05-23
10.52,14.0,Jamal ALSTON,USA,"Eugene, OR (USA)",2009-05-17
10.52,17.0,Anthony THOMAS,USA,"Tallahassee, FL (USA)",2009-05-09
10.52,11.0,Till HELMKE,GER,"Philadelphia, PA (USA)",2009-04-25
10.52,13.0,Martin LAMY,FRA,Laval (FRA),2009-04-18
10.52,0.0,Guilherme Pereira DE SOUSA PATATIVA,BRA,SÃ£o Paulo (BRA),2009-04-18
10.52,-4.0,Keith RICKS,USA,"Coral Gables, FL (USA)",2009-04-18
10.52,3.0,Renzao LIU,CHN,Jinan (CHN),2009-07-03
10.52,18.0,Joseph SHEFFIELD,USA,"Sacramento, CA (USA)",2016-07-28
10.52,9.0,Fabrice CALLIGNY,FRA,Lamballe (FRA),2009-07-18
10.52,3.0,Felix GÃ–LTL,GER,Rhede (GER),2009-08-07
10.52,16.0,Jeryl BRAZIL,USA,"Mobile, AL (USA)",2015-05-09
10.52,9.0,Yoshiya NISHIGAKI,JPN,Yokohama (JPN),2015-05-14
10.52,12.0,Aaron THURBER,USA,"Orem, UT (USA)",2015-05-15
10.52,2.0,Jaran SATHOENGRAM,THA,Taipei City (TPE),2015-05-15
10.52,18.0,Nick ALBUS,USA,"Austin, TX (USA)",2015-05-16
10.52,1.0,Brenden CALDWELL,USA,"Greensboro, NC (USA)",2015-05-17
10.52,19.0,Curtis BEACH,USA,"Chula Vista, CA (USA)",2015-05-22
10.52,17.0,Okky Setyo UTOMO,INA,Surakarta (INA),2015-05-22
10.52,19.0,Derrick JOHNSON,USA,"Jacksonville, FL (USA)",2015-05-28
10.52,-2.0,Marquis Sean HOLSTON,PUR,Gurabo (PUR),2015-05-29
10.52,14.0,Johannes WIESNER,GER,Forst (GER),2015-05-30
10.52,1.0,Enzo FAULBAUM,CHI,Cuenca (ECU),2015-05-30
10.52,6.0,Antonio INFANTINO,GBR,Regensburg (GER),2015-06-06
10.52,-3.0,Mamus EMUOBONUVIE,NGR,Onitsha (NGR),2015-06-11
10.52,5.0,Simone PETTENATI,ITA,Rieti (ITA),2015-06-12
10.52,4.0,Shuhei TADA,JPN,Hiratsuka (JPN),2015-06-14
10.52,16.0,Isaiah TAYLOR,USA,"Shoreline, WA (USA)",2015-06-20
10.52,5.0,Josef Semir NORALES,HON,Managua (NCA),2015-06-26
10.52,11.0,Jonathan QUARCOO,NOR,Mannheim (GER),2015-06-27
10.52,5.0,Krzysztof GRZEÅšKOWIAK,POL,Tallinn (EST),2015-07-09
10.52,-2.0,Daisuke MIYAMOTO,JPN,"Pascual Guerrero, Cali (COL)",2015-07-15
10.52,16.0,Sam MILLER,GBR,Loughborough (GBR),2015-07-18
10.52,-7.0,Olisakwe CHUKWUDI,NGR,Warri (NGR),2015-07-30
10.52,0.0,Roman BUBLYK,UKR,Yalta (UKR),2009-07-22
10.52,-13.0,Otabio SAGAWA,JPN,Kumagaya (JPN),2016-09-02
10.52,6.0,Freddy MAYOLA,CUB,Los Corrales de Buelna (ESP),2009-05-30
10.52,19.0,Mehdi TAKORDMIOUI,MAR,Kenitra (MAR),2018-07-24
10.52,0.0,Kritsada NAMSUWAN,THA,Chiang Rai (THA),2018-11-21
10.52,15.0,Masato EKAWA,JPN,Nagoya (JPN),2018-10-20
10.52,11.0,Yahiro MATSUBARA,JPN,Ise (JPN),2018-08-03
10.52,16.0,Ryo KIMURA,JPN,Ise (JPN),2018-08-03
10.52,14.0,Hideaki SEO,JPN,Ise (JPN),2018-08-03
10.52,14.0,Jun-hyuk LEE,KOR,Yecheon (KOR),2018-07-20
10.52,4.0,Tenju TOGAWA,JPN,Asahikawa (JPN),2018-07-14
10.52,13.0,Kayhan Ã–ZER,TUR,Erzurum (TUR),2018-07-14
10.52,0.0,Danil ROSLYAKOV,RUS,Chelyabinsk (RUS),2018-07-06
10.52,13.0,Imri PERSIADO,ISR,Tel Aviv (ISR),2018-07-04
10.52,19.0,Even MEINSETH,NOR,Oslo (NOR),2018-07-05
10.52,4.0,Milo SKUPIN-ALFA,GER,Mannheim (GER),2018-06-23
10.52,-11.0,Obakeng BALOI,RSA,Potchefstroom (RSA),2019-03-05
10.52,18.0,Diab DAVIS,USA,"Sacramento, CA (USA)",2019-03-16
10.52,9.0,A.S.M. SAFAN,SRI,Colombo (SRI),2019-03-22
10.52,7.0,Elijah MILLER,USA,"Coral Gables, FL (USA)",2019-03-23
10.52,13.0,Jevony MURRAY,JAM,"Lubbock, TX (USA)",2019-03-23
10.52,5.0,Javan MARTIN,BAH,"Prairie View, TX (USA)",2019-03-23
10.52,18.0,Isaiah HUTCHINSON,USA,"Lincoln, NE (USA)",2019-04-06
10.52,6.0,Raphael MÃœLLER,GER,Stuttgart (GER),2018-07-01
10.53,4.0,Rushan ABDULKADEROV,RUS,Kazan (RUS),2018-07-19
10.53,18.0,Joan MARTÃNEZ,ESP,Barcelona (ESP),2018-07-01
10.53,16.0,Bandit CHUANGCHAI,THA,Warszawa (POL),2018-07-01
10.53,10.0,IÃ±aki CAÃ‘AL,ESP,Santander (ESP),2018-06-30
10.53,11.0,Yendountien TIEBEKABE,TOG,Albi (FRA),2018-07-06
10.53,4.0,Hector ALLEN,CRC,Ciudad de Guatemala (GUA),2018-07-13
10.53,14.0,Renji HONJO,JPN,Ise (JPN),2018-08-03
10.53,15.0,Julian TAMEZ,MEX,Monterrey (MEX),2014-03-21
10.53,19.0,Tejinder SINGH,IND,Jalahalli (IND),2018-09-20
10.53,12.0,Haruto NISHIMURA,JPN,Nagoya (JPN),2018-10-20
10.53,10.0,Takumu MAEDA,JPN,Nagoya (JPN),2018-10-20
10.53,19.0,Alexandr KASPER,KAZ,Almaty (KAZ),2018-06-29
10.53,-3.0,Julian FORDE,BAR,"National Stadium, Waterford, Bridgetown (BAR)",2020-02-22
10.53,0.0,Gideon TROTTER,RSA,"Mangaung Athletics Stadium, Bloemfontein (RSA)",2020-02-29
10.53,19.0,Jason SMYTH,IRL,Lee Valley (GBR),2018-08-15
10.53,13.0,Nicholas DOUGLAS,TTO,Port-of-Spain (TTO),2018-06-22
10.53,20.0,Artur ZACZEK,POL,Gdansk (POL),2018-06-16
10.53,-9.0,Hugh GRAHAM,USA,"Winter Park, FL (USA)",2011-05-07
10.53,19.0,Wen-Tang WANG,TPE,Taichung (TPE),2011-05-07
10.53,-4.0,Matthew CAMPBELL,USA,"Ann Arbor, MI (USA)",2011-05-07
10.53,11.0,Jordan KENT,USA,"Eugene, OR (USA)",2011-05-06
10.53,20.0,Justin CHRISTIAN,USA,"Oxford, MS (USA)",2011-04-24
10.53,-13.0,Keny BLECOURT,FRA,"Stade Fiesque Duchesne, Baie Mahault (FRA)",2020-03-07
10.53,20.0,Hajatiana RANDRIANASOLO,FRA,Cergy-Pontoise (FRA),2018-06-22
10.53,6.0,Deonta HENDERSON,USA,"Nacogdoches, TX (USA)",2011-04-02
10.53,17.0,Courtland WALLS,USA,"Tallahassee, FL (USA)",2011-03-26
10.53,-33.0,Manuel A. RAMÃREZ,CUB,La Habana (CUB),2011-03-17
10.53,9.0,Jaylen DRAYDEN,USA,"Albuquerque, NM (USA)",2018-06-02
10.53,3.0,Charles RENARD,FRA,Argentan (FRA),2018-06-03
10.53,0.0,Jean Marie LOUIS,BEL,GenÃ¨ve (SUI),2018-06-09
10.53,18.0,Guillermo ALCALA-RENDON,ESP,Jesolo (ITA),2018-06-09
10.53,1.0,Michael BRYAN,USA,"Tempe, AZ (USA)",2011-03-26
10.53,-2.0,FlÃ¡vio BARBOSA,BRA,Natal (BRA),2020-03-07
10.53,19.0,Syota TANAKA,JPN,"Sunrise Park, Saga (JPN)",2020-08-01
10.53,-9.0,Keenan MICHAU,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14
10.53,11.0,Brandon MINGELI,GBR,"Trafford Athletic Stadium, Manchester (GBR)",2020-09-06
10.53,4.0,Aleksey LAPTEV,RUS,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",2020-09-08
10.53,7.0,Mirai YAMAMOTO,JPN,"Denka Big Swan Stadium, Niigata (JPN)",2020-09-12
10.53,3.0,Shoei TAKA,JPN,"Atsubetsu Park Stadium, Sapporo (JPN)",2020-09-12
10.53,13.0,Ruskin MOLINARI NWAGWU,ITA,"Stadio Zecchini, Grosseto (ITA)",2020-09-18
10.53,13.0,Mame Moussa NDIAYE,ITA,"Stadio Zecchini, Grosseto (ITA)",2020-09-18
10.53,-2.0,Adrian BRZEZIÅƒSKI,POL,"Stadion AWF, Biala Podlaska (POL)",2020-09-04
10.53,2.0,Kenji FUJIMITSU,JPN,"Prefectural Stadium, Kumagaya (JPN)",2020-09-18
10.53,7.0,Mirai SAITO,JPN,"Prefectural Stadium, Kumagaya (JPN)",2020-10-03
10.53,17.0,Hiroto FUZIWARA,JPN,"Edion Stadium, Hiroshima (JPN)",2020-10-24
10.53,10.0,Rivaldo ROBERTS,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-11-28
10.53,10.0,Chia-Hsun CHEN,TPE,Kaohsiung (TPE),2015-10-19
10.53,4.0,Arthur CISSÃ‰,CIV,Brazzaville (CGO),2015-09-13
10.53,-5.0,Tatsuya YAMAGUCHI,JPN,Osaka (JPN),2015-09-11
10.53,-10.0,Naoto HIRANO,JPN,"Prefectural Stadium, Kumagaya (JPN)",2020-09-18
10.53,4.0,Fhatawani MUDEMELI,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-07
10.53,20.0,Destiny OGALI,GBR,"Sportcity Regional Arena, Manchester (GBR)",2020-09-04
10.53,-7.0,Serhiy SMELYK,UKR,"Avangard Stadium, Lutsk (UKR)",2020-08-29
10.53,6.0,Yuki HASHIOKA,JPN,"Nihon University Athletics Stadium, Setagaya (JPN)",2020-04-04
10.53,6.0,Michel MEIÃŸNER,GER,"Weserstadion Platz 11, Bremen (GER)",2020-06-20
10.53,11.0,Robert HERING,GER,"Heinz-Steyer-Stadion, Dresden (GER)",2020-07-10
10.53,10.0,Frederico CURVELO,POR,"EstÃ¡dio 1o de Maio, Braga (POR)",2020-07-15
10.53,0.0,Robin EREWA,GER,"Stadion, Wetzlar (GER)",2020-07-18
10.53,19.0,Delano WILLIAMS,GBR,"Jamaica College Ashenheim Stadium, Kingston (JAM)",2020-07-25
10.53,9.0,Kotarou HATTORI,JPN,"Chiyogadai Park Stadium, Hakodate (JPN)",2020-08-29
10.53,16.0,Mateusz SIUDA,POL,"Stadion Miejski, Jelenia GÃ³ra (POL)",2020-07-26
10.53,-2.0,Jamison JORDAN,USA,"Irvine, CA (USA)",2011-05-13
10.53,16.0,Sota KAWATSURA,JPN,"Chuo University Stadium, Hachioji (JPN)",2020-08-01
10.53,16.0,Takashi TODO,JPN,"Chuo University Stadium, Hachioji (JPN)",2020-08-01
10.53,20.0,Taiki NAKAMICHI,JPN,"Kusanagi Athletic Stadium, Shizuoka (JPN)",2020-08-02
10.53,9.0,Henri SAI,EST,"Kadrioru staadion, Kadriorg, Tallinn (EST)",2020-08-08
10.53,-7.0,Konstantinos ZIKOS,GRE,Patra (GRE),2020-08-08
10.53,19.0,Sho KITAGAWA,JPN,"Juntendo University Stadium, Inzai (JPN)",2020-08-01
10.53,14.0,Daryl TRUITT,USA,"Cedar Falls, IA (USA)",2011-05-15
10.53,20.0,Vyacheslav MURAVYEV,KAZ,Almaty (KAZ),2011-07-27
10.53,6.0,Alex SANDERS,USA,"Hutchinson, KS (USA)",2011-05-20
10.53,19.0,Raymond AYO,USA,"Columbia, SC (USA)",2017-04-15
10.53,10.0,Kejavon MOORE,USA,"Durham, NC (USA)",2017-04-21
10.53,12.0,Jeryl BRAZIL,USA,"Baton Rouge, LA (USA)",2017-04-22
10.53,12.0,Mandela CLIFFORD,LCA,"Houston, TX (USA)",2017-04-22
10.53,20.0,Fabiano Gilberto DA SILVA,BRA,Sao Bernardo do Campo (BRA),2017-04-23
10.53,10.0,Alexandre Araujo GALASSI NASCIMENTO,BRA,Sao Bernardo do Campo (BRA),2017-04-23
10.53,1.0,Isaiah KENNEDY,USA,"Tucson, AZ (USA)",2017-04-08
10.53,8.0,Rubin WILLIAMS,USA,"Berkeley, CA (USA)",2017-04-29
10.53,20.0,Chris CRAIG,USA,"Bloomsburg, PA (USA)",2017-05-05
10.53,-6.0,Kazuki KANAMORI,JPN,Mito (JPN),2017-05-05
10.53,14.0,Michael BROWN,USA,"Greensboro, NC (USA)",2017-05-05
10.53,1.0,Alex MUSTARD,USA,"Bozeman, MT (USA)",2017-05-05
10.53,17.0,Denzel BROWN,USA,"Sioux Falls, SD (USA)",2017-05-05
10.53,19.0,Zach GORDON,USA,"Oxford, MS (USA)",2017-05-06
10.53,18.0,Leighton ANTONIO,USA,"Hillsdale, MI (USA)",2017-04-29
10.53,-10.0,Lucas DALSENTER,BRA,FlorianÃ³polis (BRA),2017-05-06
10.53,11.0,Paul DOAN,USA,"Claremont, CA (USA)",2017-04-08
10.53,4.0,Darrell SINGLETON,USA,"Coral Gables, FL (USA)",2017-03-18
10.53,4.0,Arnaud REMY,FRA,Vieux-Habitants (FRA),2009-05-30
